"quant","percent","A","B","blank","read_time_one","read_and_decide_time","response","id","qq","resp","keep","fast_response","slow_response"
"Few1",40,"monter","melelt",821,2069,2688,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",6,"gukbar","soarse",814,2396,1560,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",18,"puggle","entand",1209,1772,1382,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",45,"shrile","athoid",1846,1702,1514,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"More than half1",91,"chulks","vulhor",703,1524,1152,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",73,"hadder","ollidy",602,2135,1216,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",56,"chevel","podden",592,1446,1366,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",8,"coamin","mucond",551,1547,1293,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",77,"tiklet","hullaw",1173,1211,1225,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Many1",23,"sporer","firtly",1341,1389,979,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",91,"umpond","marire",578,1081,1137,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Fewer than half1",64,"sporer","firtly",624,1217,1126,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",61,"bameta","unzast",499,2119,811,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",73,"raster","movell",701,2115,1172,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"More than half1",59,"werner","hurmer",764,2572,981,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",38,"hadder","ollidy",1023,2356,843,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",3,"shurry","preser",903,1324,1362,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Most1",81,"birler","enciad",615,2314,1333,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",47,"spunge","wenple",711,1171,1238,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Most1",96,"pirter","secent",833,1327,796,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"More than half1",26,"tecker","biller",1205,2043,824,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"More than half1",12,"pobbit","spippy",713,2188,1295,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Few1",41,"jallem","sildal",1729,1205,1382,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Few1",94,"dorder","coggon",1439,1292,1319,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",27,"bemble","squank",1276,5018,2302,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",5,"kustle","reshix",1339,3650,1690,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Most1",95,"pliper","sesare",2515,2233,1388,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Most1",76,"cather","funder",817,2312,1238,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"More than half1",35,"umpond","marire",902,2246,1034,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Many1",71,"raster","movell",784,1068,791,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Few1",29,"mecket","plumry",856,3462,1104,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"More than half1",64,"strant","potind",2600,2834,970,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",44,"werner","hurmer",1529,1008,1280,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",19,"mecket","plumry",1161,1541,701,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Most1",80,"devole","sholly",546,1113,949,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",85,"russer","huttle",1254,945,1455,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Most1",30,"chulks","vulhor",963,3791,848,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",44,"boddle","molill",768,1013,2166,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",26,"tiklet","hullaw",647,2951,777,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"More than half1",62,"clidge","hensly",1034,1835,756,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Few1",94,"coppar","hunene",555,2124,1172,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",4,"bameta","unzast",614,1566,1531,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Most1",8,"gukbar","soarse",1193,3052,1078,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",34,"pirter","secent",1085,709,956,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Most1",22,"shrile","athoid",683,2124,778,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"More than half1",97,"shurry","preser",1494,1151,872,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",67,"coppar","hunene",503,965,796,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Most1",71,"bameta","unzast",402,1273,609,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Many1",97,"strant","potind",815,2006,1504,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Most1",90,"pobbit","spippy",1359,1290,494,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
